Factory,Product,Line,Station,Start,Finish
T1,APPROACH R10,L_ASSY010,,,
T1,APPROACH S60,L_ASSY010,220.03 批次作業,2022/5/30,2022/7/13
T1,"FENIX 6,QUATIX 6",L_ASSY060,220.07 未於治具上作業,2022/6/29,2022/7/13
T1,"FENIX 6,QUATIX 6",L_ASSY060,220.07 批次作業,2022/7/12,2022/7/27
T1,"FENIX 6,QUATIX 6",L_ASSY060,220.07 未於治具上作業,2022/7/18,2022/7/27
T1,"FENIX 7,FENIX 7 SOLAR,QUATIX 7",L_ASSY060,220.08 未使用靜電鑷子,2022/7/27,2022/8/3
T1,"FENIX 7S,FENIX 7S SOLAR",L_ASSY020,220.05 人員遺漏目檢作業,2022/6/29,2022/7/13
T1,"FENIX 7X SOLAR,QUATIX 7X SOLAR",L_ASSY060,220.08 未使用靜電鑷子,2022/7/27,2022/8/3
T1,"FORETREX 601, FORETREX 701",L_ASSY010,,,
T1,INSTINCT SOLAR,L_ASSY040,220.06 批次作業,2022/7/27,2022/8/3
T5,"FR245,FR245M",LXXXASY302,,,
T5,FR255,LXXXASY302,220.04 治具上蓋未扣,2022/7/27,2022/8/10
T5,"FR45,FR45 PLUS",LXXXASY301,,,
T5,FR45S,LXXXASY301,,,
T5,FR55,LXXXASY301,220.05 批次作業(本周少量生產),2022/7/20,2022/7/27
T5,"INSTINCT 2,INSTINCT DEZL",LXXXASY306,,,
T5,"VENU 2 DAIMLER,VENU 2 GEELY,VENU 2S",LXXXASY303,220.09 多治具作業,2022/7/12,2022/7/27
T5,"VENU 2 DAIMLER,VENU 2 GEELY,VENU 2S",LXXXASY303,220.08 治具上蓋未扣(本周無生產),2022/7/27,2022/8/10
T5,"VENU 2,VENU 2 DAIMLER,VENU 2 GEELY",LXXXASY303,220.05 批次作業,2022/6/29,2022/8/10
T5,VENU SQ MUSIC ED,LXXXASY303,,,
T5,VIVOACTIVE4 LARGE,LXXXASY304,220.07 批次作業,2022/7/20,2022/8/10
T5,VIVOSMART5,LXXXASY305,220.03 批次作業,2022/7/27,2022/8/10
